C0000727,CID100002800;CID100002800;CID100003386;CID100003386;CID100004205;CID100004205;CID100004745;CID100004745;CID100005978;CID100005978;CID100005978;CID100005978
C0000729,CID100005978;CID100005978;CID100005978;CID100005978;CID100005726;CID100005726;CID100005645;CID100005645;CID100005625;CID100005625;CID100004908;CID100004908;CID100004946;CID100004976;CID100004976;CID100004991;CID100004991;CID100004943;CID100004943;CID100004946;CID100005376;CID100005376;CID100005402;CID100005402;CID100005408;CID100005408;CID100005584;CID100005584;CID100005184;CID100005184;CID100004735;CID100004735;CID100004771;CID100004771;CID100004689;CID100004689;CID100006468;CID100006468;CID100010340;CID100009433;CID100009433;CID100009354;CID100009354;CID100008230;CID100008230;CID100010340;CID100010631;CID100010631;CID100023703;CID100023703;CID100020585;CID100020585;CID100022318;CID100022318;CID100024414;CID100024414;CID100027993;CID100027991;CID100027991;CID100027991;CID100027991;CID100027993;CID100032603;CID100032603;CID100032603;CID100032603;CID100032800;CID100032800;CID100047419;CID100047419;CID100054373;CID100054547;CID100054547;CID100054373;CID100060714;CID100060714;CID100072081;CID100072081;CID1000835
C0000731,CID100004639;CID100004639;CID100004599;CID100004599;CID100004585;CID100004585;CID100004542;CID100004542;CID100004666;CID100004666;CID100004666;CID100004666;CID100003345;CID100003345;CID100003370;CID100003370;CID100003399;CID100003399;CID100003954;CID100003954;CID100003877;CID100003877;CID100004042;CID100004042;CID100003911;CID100003911;CID100004091;CID100004091;CID100004159;CID100004159;CID100004075;CID100004075;CID100003419;CID100003419;CID100003419;CID100003419;CID100003454;CID100003454;CID100003494;CID100003494;CID100003405;CID100003405;CID100003640;CID100003640;CID100003623;CID100003648;CID100003623;CID100003648;CID100004451;CID100004451;CID100004253;CID100004253;CID100004272;CID100004272;CID100004259;CID100004259;CID100003749;CID100003749;CID100003661;CID100003661;CID100003661;CID100003661;CID100003706;CID100003715;CID100003715;CID100003706;CID100003672;CID100003672;CID100014789;CID100014789;CID100014888;CID100014888;CID100006436;CID100006436;CID100016886;CID100016886;CID100016886;CID100016886;CID1000081
C0000735,CID100483407;CID100483407;CID100004885;CID100004885
C0000737,CID100004885;CID100004845;CID100004885;CID100004845;CID100004885;CID100004845;CID100004691;CID100004691;CID100004691;CID100004725;CID100004725;CID100004725;CID100004739;CID100004739;CID100004739;CID100004745;CID100004740;CID100004745;CID100004745;CID100004735;CID100004735;CID100004740;CID100004735;CID100004740;CID100004828;CID100004819;CID100004819;CID100004819;CID100004834;CID100004810;CID100004810;CID100004775;CID100004775;CID100004828;CID100004834;CID100004834;CID100004810;CID100004828;CID100004775;CID100004746;CID100004746;CID100004746;CID100004891;CID100004891;CID100004891;CID100004889;CID100004889;CID100004889;CID100004679;CID100004679;CID100004679;CID100004673;CID100004673;CID100004673;CID100011125;CID100011125;CID100010631;CID100010631;CID100012453;CID100012453;CID100012453;CID100010631;CID100011125;CID100023926;CID100023951;CID100024706;CID100023957;CID100023951;CID100023926;CID100023926;CID100023951;CID100023957;CID100024706;CID100023982;CID100023982;CID100023982;CID100023925;CID100023925;CID1000239
C0000768,CID100134780;CID100134780;CID100134780;CID100060936;CID100062819;CID100060953;CID100060953;CID100062819;CID100060936;CID100060936;CID100062819;CID100060953;CID100042955;CID100042955;CID100042955;CID100041317;CID100041317;CID100041317;CID100036523;CID100036523;CID100036523;CID100005487;CID100005487;CID100005487;CID100004819;CID100004819;CID100004829;CID100004829;CID100004829;CID100004819;CID100004763;CID100004763;CID100004763;CID100018140;CID100018140;CID100018140;CID100005726;CID100005726;CID100005726;CID100005665;CID100005665;CID100005665;CID100005656;CID100005656;CID100005656;CID100005735;CID100005734;CID100005734;CID100005735;CID100005735;CID100005734;CID100005090;CID100005090;CID100005090;CID125074886;CID125074886;CID125074886;CID125074886;CID125074886;CID125074886;CID100216326;CID100216326;CID100216326;CID109812414;CID109812414;CID109812414;CID116130957;CID116130957;CID116130957;CID105361912;CID105361912;CID105361912;CID100003454;CID100003454;CID100003454;CID100003793;CID100003793;CID100003793;CID1000037
C0000772,CID100060613;CID100060613;CID100062819;CID100062819;CID100005426;CID100005426;CID100004272;CID100004272
C0000786,CID100004042;CID100004042;CID100004536;CID100004536;CID100003385;CID100003385;CID105487301;CID105487301;CID100216235;CID100216235;CID116130957;CID116130957;CID116132418;CID116132418;CID100062819;CID100062819;CID100036523;CID100036523;CID100042615;CID100042615;CID100054547;CID100054547;CID100002771;CID100002771;CID100002771;CID100002771;CID100004735;CID100004735;CID100004920;CID100004920;CID100005731;CID100005731;CID100006238;CID100006238
C0000814,CID100004428;CID100004428;CID100004042;CID100004042;CID116132418;CID116132418
C0000817,CID100023978;CID100023978
C0000832,CID100000158;CID100000158
