C0000729,CID100000158;CID100000158;CID100003661;CID100003661
C0000731,CID111979316;CID111979316;CID100004678;CID100004678;CID100003003;CID100003003;CID100005772;CID100005772;CID100008230;CID100008230
C0000737,CID100040703;CID100040703;CID100040703;CID100002881;CID100002881;CID100002881;CID100000937;CID100000937;CID100000937;CID100002099;CID100002099;CID100002099;CID100003463;CID100004031;CID100004031;CID100003463;CID100003463;CID100004031;CID100004920;CID100004920;CID100004920
C0000768,CID100005538;CID100005538;CID100005538;CID100041317;CID100041317;CID100041317;CID100003325;CID100003325;CID100003325
C0000786,CID100004920;CID100004920
C0000814,CID100071436;CID100071436;CID100000158;CID100000158;CID100005771;CID100005771
C0000817,CID100150610;CID100150610;CID100062959;CID100062959;CID100003467;CID100003467
C0000832,CID100005526;CID100005526;CID100000564;CID100000564
C0000833,CID100002269;CID100002269;CID100003364;CID100003443;CID100003443;CID100003364;CID100054373;CID100054547;CID100054688;CID100054688;CID100054373;CID100054547;CID100003928;CID100003928;CID126275995;CID125880656;CID125880656;CID126275995;CID100002637;CID100002637;CID100002646;CID100002646;CID100002650;CID100002650;CID100002786;CID100002274;CID100002786;CID100002274;CID100166548;CID100166548;CID100477468;CID100477468;CID100005379;CID100005379;CID100004509;CID100004509;CID100004173;CID100004259;CID100004259;CID100004583;CID100004173;CID100004583
C0000880,CID100011973;CID100011973
C0001075,CID100004734;CID100004734;CID100005625;CID100005625
C0001122,CID100000767;CID100000767;CID100000923;CID100000311;CID100000923;CID100000311;CID100002973;CID100002973;CID100006503;CID100010340;CID100006503;CID100010340
C0001125,CID100010340;CID100010340;CID100005155;CID100005155;CID100000923;CID100000923;CID100000767;CID100000767;CID100004091;CID100004091
C0001126,CID100010340;CID100010340;CID100010340;CID100013344;CID100013344;CID100013344;CID100000813;CID100000813;CID100000813;CID100000311;CID100000311;CID100000311
C0001127,CID100006503;CID100006503
C0001144,CID100032603;CID100060164;CID100007187;CID100060164;CID100007187;CID100032603;CID100003255;CID100003255;CID100002955;CID100002955;CID100001071;CID100001071;CID100002266;CID100002266;CID100005320;CID100005538;CID100005320;CID100005538;CID100005381;CID100005381;CID100002786;CID100002786
C0001175,CID100002891;CID100002786;CID100002786;CID100002786;CID100002891;CID100002891;CID171306834;CID105361912;CID171306834;CID171306834;CID105361912;CID105361912;CID100014917;CID100054688;CID100060613;CID100005726;CID100005718;CID100060787;CID100005718;CID100005726;CID100019090;CID100019090;CID100014917;CID100014917;CID100005726;CID100054949;CID100054688;CID100054688;CID100060613;CID100060613;CID100054949;CID100060787;CID100054949;CID100005718;CID100060787;CID100019090;CID100001875;CID100001875;CID100001690;CID100001690;CID100001690;CID100001972;CID100001875;CID100001972;CID100002022;CID100002022;CID100001972;CID100002022;CID100004048;CID100003454;CID100003454;CID100004048;CID100003454;CID100003793;CID100003793;CID100003706;CID100003793;CID100004048;CID100003706;CID100003706;CID100003121;CID100003121;CID100003365;CID100003310;CID100003310;CID100003365;CID100003414;CID100003414;CID100003414;CID100002978;CID100002978;CID100002978;CID100003365;CID100003121;CID100003310;CID100004735;CID100004666;CID100004735;CID1000046
C0001206,CID100071348;CID100071348;CID100002443;CID100002443;CID100054373;CID100054373;CID100003938;CID100003938;CID100000232;CID100000232
C0001231,CID116132344;CID116132344
C0001261,CID154682541;CID125880664;CID125880656;CID126275995;CID126275995;CID151601240;CID151601240;CID125880656;CID125880664;CID154682541;CID100062305;CID100062305;CID100003512;CID100003512;CID100002349;CID100002349
C0001339,CID116134956;CID116156130;CID116134956;CID116129616;CID116129616;CID116156130;CID100004058;CID100004058;CID100054373;CID100054373
C0001344,CID100002269;CID100002269;CID100002610;CID100002610;CID100005106;CID100005106
C0001361,CID100005106;CID100005106
C0001396,CID100005032;CID100005032;CID100000838;CID100000838
