CMPD_CHEMBLID,exp,smiles,,,,,,
CHEMBL29,1.76,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,,,,,,
CHEMBL6966,2.51,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,,,,,,
CHEMBL301002,5.75,CC(C)COC(=O)N(CC(O)CN(Cc1ccccc1)C(=O)OCC(C)C)Cc2ccccc2,,,,,,
CHEMBL175729,2.89,CN(C)C1CC(C)(C)NC(C)(C)C1,,,,,,
CHEMBL269000,6.99,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl,,,,,,
CHEMBL12,1.49,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,,,,,,
CHEMBL12,2.87,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,,,,,,
CHEMBL6,2,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3,,,,,,
CHEMBL40,1.43,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,,,,,,
CHEMBL10272,3.55,O=C1CCC(C2CCN(Cc3ccccc3)CC2)(C(=O)N1)c4ccccc4,,,,,,
CHEMBL276334,4.61,Clc1ccc(cc1)c2ccccc2,,,,,,
CHEMBL13,2.34,COCCc1ccc(OCC(O)CNC(C)C)cc1,,,,,,
CHEMBL384467,1.74,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,,,,
CHEMBL289277,2.87,Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,,,,,,
CHEMBL41043,-1.56,CC(=O)c1ccc(cc1)S(=O)(=O)C,,,,,,
CHEMBL41043,0.33,CC(=O)c1ccc(cc1)S(=O)(=O)C,,,,,,
CHEMBL366500,2.74,NC1CCN(Cc2ccccc2)CC1,,,,,,
CHEMBL558225,3.478,Br.Br.CCN(CC)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C3)C(=O)N(CC)CC)cc2)C1,,,,,,
CHEMBL408666,1.1,O=C([C@@H]1CCCN1C(=O)c2cccc(c2)C(=O)N3CCC[C@@H]3C(=O)c4ccccc4)N5CCC[C@@H]5C#N,,,,,,
CHEMBL288470,-1.1,CN(C)C1=C(C)N(C)N(C1=O)c2ccccc2,,,,,,
CHEMBL288470,0.82,CN(C)C1=C(C)N(C)N(C1=O)c2ccccc2,,,,,,
CHEMBL101,3.04,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,,,,,,
CHEMBL56041,2.48,OC(CN(Cc1ccccc1)C(=O)OC2CCOC2)CN(Cc3ccccc3)C(=O)OC4CCOC4,,,,,,
CHEMBL277474,-2.52,CN1N(C(=O)C=C1C)c2ccccc2,,,,,,
CHEMBL277474,0.15,CN1N(C(=O)C=C1C)c2ccccc2,,,,,,
CHEMBL277474,-2.5,CN1N(C(=O)C=C1C)c2ccccc2,,,,,,
CHEMBL413356,2.57,OCCNC1CCN(Cc2ccccc2)CC1,,,,,,
