CMPD_CHEMBLID,exp,smiles,,,,,,
CHEMBL273958,2.33,FCCN(N=O)C(=O)NC1CCSc2ccccc12,,,,,,
CHEMBL274218,0.69,CC1CC(O)C(NC(=O)N(CCCl)N=O)C(O)C1,,,,,,
CHEMBL418159,1.33,CC(=O)OC1CCC(CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL2051748,-0.53,C[C@@H]1S(=O)(=O)C[C@H](CS1(=O)=O)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL430916,4.4,CC[C@@]1(CC(=O)O)OC[C@H](Cc2ccccc2)c3c1[nH]c4ccccc34,,,,,,
CHEMBL622,3.5,CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12,,,,,,
CHEMBL324489,2.6,CN1CCN(CC1)C(=O)c2ccc3[nH]c(cc3c2)c4cc5ccccc5nc4O,,,,,,
CHEMBL12667,3.11,Cc1cc(C)c(NC(=O)N(CCCl)N=O)c(C)c1,,,,,,
CHEMBL2051941,1.77,C[C@H]1CCC[C@@H](C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL274411,-1.48,FCCN(N=O)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,,,,,,
CHEMBL276848,2.66,ClCCN(N=O)C(=O)NC1CCC(Cl)CC1,,,,,,
CHEMBL12267,0.95,FCCNC(=O)N(CCCl)N=O,,,,,,
CHEMBL275300,4.06,CC1CC(CC(C)(C)C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12637,1.66,CC(=O)OC1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL513,1.53,ClCCNC(=O)N(CCCl)N=O,,,,,,
CHEMBL435966,0.07,[O-][N+](=O)c1cncn1CCN2CCOCC2,,,,,,
CHEMBL329350,4,COc1ccc(cc1)c2cnc3c(cnn3c2)c4ccncc4,,,,,,
CHEMBL12792,2.4,FCCN(N=O)C(=O)NC1CC2CCC1C2,,,,,,
CHEMBL12200,0.37,ClCCN(N=O)C(=O)NC1CCC(=O)NC1=O,,,,,,
CHEMBL273416,0.37,CN(C)C(=O)c1ccc(NC(=O)N(CCCl)N=O)cc1,,,,,,
CHEMBL267308,2.7,CC1(CCCC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12807,1.87,CC(=O)OCC1OCC(NC(=O)N(CCCl)N=O)C(OC(=O)C)C1OC(=O)C,,,,,,
CHEMBL440683,6.3,CCc1cccc2c3[C@@H](CC=C)CCC(CC)(CC(=O)O)c3[nH]c12,,,,,,
CHEMBL73938,4,CCC1(CC(=O)O)OC[C@H](CC=C)c2c1[nH]c3c(C)cccc23,,,,,,
CHEMBL12687,3.45,CCOC(=O)C1(CCCCC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12470,2.91,ClCCN(N=O)C(=O)NC1CCSc2ccccc12,,,,,,
CHEMBL12424,3.62,ClCCN(N=O)C(=O)NC1C2CC3CC(CC1C3)C2,,,,,,
CHEMBL288984,2.44,C\\C(=C/C(=O)O)\\C(=O)c1ccccc1,,,,,,
CHEMBL108,2.45,NC(=O)N1c2ccccc2C=Cc3ccccc13,,,,,,
CHEMBL13016,3.13,CC1(C)CCC(CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL430111,2.19,C\\C(=C\\C(=O)c1ccc(C)cc1)\\C(=O)O,,,,,,
CHEMBL305523,4.5,CCc1cccc2c3[C@@H](CC=C)COC(CC)(CC(=O)O)c3[nH]c12,,,,,,
CHEMBL12563,0.38,FCCNC(=O)N(CCF)N=O,,,,,,
CHEMBL13121,5.22,FCCN(N=O)C(=O)NC1CCCCCCCCCCC1,,,,,,
CHEMBL13005,2.72,CC1CCC(CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL1999834,2.16,OC(=O)C[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL45057,2.4,CCCCCCCC(=O)\\C(=C(\\C)/C(=O)O)\\C,,,,,,
CHEMBL118748,0.9,OC(=O)C1CCN(CCCOc2ccc3[nH]c(cc3c2)c4cc5ccccc5nc4O)CC1,,,,,,
CHEMBL12682,1.85,ClCCN(N=O)C(=O)NC1CCC(COC=O)CC1,,,,,,
CHEMBL2051943,-0.53,C[C@@H]1S(=O)(=O)C[C@@H](CS1(=O)=O)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12232,3.55,CCCCCC(C)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL71280,6.2,CCC1(CC(=O)O)CC[C@H](Cc2ccccc2)c3c1[nH]c4ccccc34,,,,,,
CHEMBL67817,5.2,CCC1(CC(=O)O)CC[C@H](CC=C)c2c1[nH]c3ccccc23,,,,,,
CHEMBL119552,1.7,Oc1nc2ccccc2cc1c3cc4cc(ccc4[nH]3)C(=O)N5CCNCC5,,,,,,
CHEMBL12415,5.8,ClCCN(N=O)C(=O)NC1CCCCCCCCCCC1,,,,,,
CHEMBL12827,4.66,CC(C)(C)C1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12509,1.43,FCCN(N=O)C(=O)NC1CCSCC1,,,,,,
CHEMBL135000,0.9,CO\\C(=N\\CCn1c(C)ncc1[N+](=O)[O-])\\S,,,,,,
CHEMBL12856,2.66,NC1=CC(=CNC1=O)c2ccncc2,,,,,,
CHEMBL118832,2.3,Oc1nc2ccccc2cc1c3cc4cc(ccc4[nH]3)S(=O)(=O)N5CCNCC5,,,,,,
CHEMBL268496,2.19,ClCCN(N=O)C(=O)NC1CCCC1,,,,,,
CHEMBL274338,4.6,CC(C)(C)C1CCCC(C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL274412,2.59,OC(=O)C(Cc1ccccc1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL2051946,1.11,O[C@H]1CCC[C@H](C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL1967746,3.3,C[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL1990387,1.53,OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12553,2.35,CC(=O)OCC1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL274622,1.77,CC(=O)OCC1CCC(CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL991,-0.77,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,,,,,,
CHEMBL35,2.53,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl,,,,,,
CHEMBL11928,0.19,ClCCN(N=O)C(=O)NC1CCS(=O)(=O)CC1,,,,,,
CHEMBL1964420,1.68,OC(=O)[C@@H]1CC[C@@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL2051751,1.1,OC(=O)[C@@H]1CC[C@@H](CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL46674,2.94,C\\C(=C/C(=O)O)\\C(=O)c1ccc(C)cc1,,,,,,
CHEMBL267546,3.04,FCCN(N=O)C(=O)NC1C2CC3CC(CC1C3)C2,,,,,,
CHEMBL2051945,1.75,O[C@H]1CCCC[C@H]1NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12409,6.07,ClCCN(N=O)C(=O)NC1CCC(CC2CCC(CC2)NC(=O)N(CCCl)N=O)CC1,,,,,,
CHEMBL2051747,2.09,CO[C@@H]1CC[C@@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL333297,3.7,Oc1nc2ccccc2cc1c3cc4cc(OCCN5CCCCC5)ccc4[nH]3,,,,,,
CHEMBL274417,2.07,ClCCN(N=O)C(=O)NC1CCSCC1,,,,,,
CHEMBL275279,2.67,ClCCN(N=O)C(=O)NC1CCC(Br)CC1,,,,,,
CHEMBL266629,2.49,CC1SCC(CS1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL58835,3.82,c1ccc(cc1)N=Nc2ccccc2,,,,,,
CHEMBL45009,1.49,COC(=O)\\C=C/C(=O)c1ccccc1,,,,,,
CHEMBL68102,5.8,CCC1(CC(=O)O)CC[C@H](CC=C)c2c1[nH]c3c(C)cccc23,,,,,,
CHEMBL344389,0.55,CC1=CN([C@@H]2O[C@H](CO)c3ccccc23)C(=O)NC1=O,,,,,,
CHEMBL267575,3.57,ClCCN(N=O)C(=O)NC1CCCCC1NC(=O)N(CCCl)N=O,,,,,,
CHEMBL274809,3.84,CCC1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL290299,-0.38,Cn1c(COC(=O)N)ncc1[N+](=O)[O-],,,,,,
CHEMBL148306,2.07,COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,,,,,,
CHEMBL118569,3.1,COCCN(C)CCOc1ccc2[nH]c(cc2c1)c3cc4ccccc4nc3O,,,,,,
CHEMBL12701,3.62,ClCCN(N=O)C(=O)NC12CC3CC(CC(C3)C1)C2,,,,,,
CHEMBL12923,0.91,CC(C)(NC(=O)N(CCCl)N=O)C(=O)O,,,,,,
CHEMBL2311097,0.82,CC(=O)O[C@@H]1CO[C@@H](NC(=O)N(CCCl)N=O)[C@H](OC(=O)C)[C@H]1OC(=O)C,,,,,,
CHEMBL12565,0.16,OC1CCCC(O)C1NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12895,2.2,CCOC(=O)C1CCCC(C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL45228,4.4,CCCCCCCCCCCC(=O)\\C(=C(\\C)/C(=O)O)\\C,,,,,,
CHEMBL69081,6.9,CCCc1cccc2c3[C@@H](CC=C)CCC(CC)(CC(=O)O)c3[nH]c12,,,,,,
CHEMBL71675,5.6,CCc1cccc2c3[C@@H](Cc4ccccc4)COC(CC)(CC(=O)O)c3[nH]c12,,,,,,
CHEMBL24,0.18,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,,,,,,
CHEMBL273983,1.86,OC(=O)C1CCCC(C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL1995873,2.22,OC(=O)C[C@@H]1CC[C@@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL1970179,1.11,O[C@@H]1CC[C@@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL44850,1.69,C\\C(=C\\C(=O)O)\\C(=O)c1ccccc1,,,,,,
CHEMBL71567,3.3,CCC1(CC(=O)O)OC[C@H](CC=C)c2c1[nH]c3ccccc23,,,,,,
CHEMBL75435,3.37,C[C@H](C(=O)O)c1cccc(c1)C(=O)c2ccccc2,,,,,,
CHEMBL1994739,3.96,Cl.COc1ccc(CCN(C)CCC[C@@](C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,,,,,,
CHEMBL275994,2.74,ClCCN(N=O)C(=O)NC1CCCC(C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL2051942,1.1,OC(=O)[C@@H]1CC[C@H](CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL1760,-0.09,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,,,,,,
CHEMBL274127,2.45,ClCCN(N=O)C(=O)NC1CCCC=C1,,,,,,
CHEMBL12577,3.57,ClCCN(N=O)C(=O)NC1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL56475,2.91,Oc1ccc(I)cc1,,,,,,
CHEMBL134920,0.85,Cn1c(\\C=C\\c2ccnc(N)n2)ncc1[N+](=O)[O-],,,,,,
CHEMBL43829,3.9,OC(=O)\\C=C\\C(=O)c1ccc(cc1)c2ccccc2,,,,,,
CHEMBL1671,3.43,Cl.CC(C)NCC(O)COc1cccc2ccccc12,,,,,,
CHEMBL12837,2.41,FCCN(N=O)C(=O)NC1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12435,0.5,CC(NC(=O)N(CCCl)N=O)C(=O)O,,,,,,
CHEMBL1220,-0.36,CCS(=O)(=O)CCn1c(C)ncc1[N+](=O)[O-],,,,,,
CHEMBL295157,2.19,C\\C(=C\\C(=O)O)\\C(=O)c1ccc(C)cc1,,,,,,
CHEMBL417744,5.3,CCc1cccc2c3CCCC(CC)(CC(=O)O)c3[nH]c12,,,,,,
CHEMBL1082,-1.71,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,,,,,,
CHEMBL154,3.58,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O,,,,,,
CHEMBL12796,3.19,CN(C1CCCCC1)C(=O)N(CC\\C=N\\C(=O)N(CCCl)N=O)N=O,,,,,,
CHEMBL12819,3.67,CC(C)C1CCC(CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL2051940,1.1,O[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL2051744,1,O[C@@H]1CCC[C@H](C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL307299,6.9,CCC1(CC(=O)O)CC[C@H](Cc2ccccc2)c3c1[nH]c4c(C)cccc34,,,,,,
CHEMBL119276,3.2,CC(=O)N1CCN(CCOc2ccc3[nH]c(cc3c2)c4cc5ccccc5nc4O)CC1,,,,,,
CHEMBL11976,3.42,CC(C)(Cc1ccccc1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12121,-0.39,FCCN(N=O)C(=O)NC1CCS(=O)(=O)CC1,,,,,,
CHEMBL273940,0.57,ClCCN(N=O)C(=O)NC1CCS(=O)(=O)C1,,,,,,
CHEMBL2051749,2.56,CC(=O)O[C@H]1CCCC[C@@H]1NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12684,3.01,ClCCN(N=O)C(=O)NC1CCC(CCl)CC1,,,,,,
CHEMBL297461,0.9,CCCCC(=O)\\C(=C(\\C)/C(=O)O)\\C,,,,,,
CHEMBL44427,2.74,COC(=O)\\C=C\\C(=O)c1ccc(C)cc1,,,,,,
CHEMBL1009,-2,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,,,,,,
CHEMBL12651,2.89,OC(=O)C(NC(=O)N(CCCl)N=O)C1CCCCC1,,,,,,
CHEMBL305619,7.4,CCc1cccc2c3[C@@H](Cc4ccccc4)CCC(CC)(CC(=O)O)c3[nH]c12,,,,,,
CHEMBL296423,2.24,COC(=O)\\C=C\\C(=O)c1ccccc1,,,,,,
CHEMBL92279,2.5,c1cc(ccn1)c2cnc3c(cnn3c2)c4ccncc4,,,,,,
CHEMBL459,-2,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,,,,,,
CHEMBL12689,2.08,ClCCN(N=O)C(=O)NC1CSCSC1,,,,,,
CHEMBL12596,-0.9,ClCCN(N=O)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,,,,,,
CHEMBL2051939,1.89,COC(=O)[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL2051746,1.89,COC(=O)[C@@H]1CC[C@@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL45282,2.94,C\\C(=C/C(=O)c1ccc(C)cc1)\\C(=O)O,,,,,,
CHEMBL79982,3.82,Oc1ccc(C(=O)c2ccccc2)c(n1)c3ccccc3,,,,,,
CHEMBL189,2.89,CC1=C(C=C(C#N)C(=O)N1)c2ccncc2,,,,,,
CHEMBL333442,4.17,[Na+].CC(C)n1c(\\C=C\\[C@@H](O)C[C@@H](O)CC(=O)[O-])c(c2ccc(F)cc2)c3ccccc13,,,,,,
CHEMBL117983,3,CN1CCN(CC1)S(=O)(=O)c2ccc3[nH]c(cc3c2)c4cc5ccccc5nc4O,,,,,,
CHEMBL1449676,0.6,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,,,,,,
CHEMBL92461,4,COc1ccc(cc1)c2cnc3c(cnn3c2)c4ccsc4,,,,,,
CHEMBL435,0.17,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,,,,,,
CHEMBL577,-0.13,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,,,,,,
CHEMBL11985,5.575,CC12CC3(C)CC(C)(C1)CC(C3)(C2)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL417796,0.6,OC(=O)CCC(NC(=O)N(CCCl)N=O)C(=O)O,,,,,,
CHEMBL2094020,-1.02,OC[C@H]1OC(O)[C@H](NC(=O)N(CCCl)N=O)[C@@H](O)[C@@H]1O,,,,,,
CHEMBL2051947,1.96,CC(=O)O[C@H]1CCCC[C@H]1NC(=O)N(CCCl)N=O,,,,,,
CHEMBL428358,1.32,CC1OC(OC(=O)C)C(NC(=O)N(CCCl)N=O)C(OC(=O)C)C1OC(=O)C,,,,,,
CHEMBL59019,2.29,CC(=O)Nc1ccc(Br)cc1,,,,,,
CHEMBL1696,4.54,Cl.CNCCCN1c2ccccc2CCc3ccccc13,,,,,,
CHEMBL1696,1.05,Cl.CNCCCN1c2ccccc2CCc3ccccc13,,,,,,
CHEMBL12885,2.57,Cc1cccc(C)c1NC(=O)N(CCCl)N=O,,,,,,
CHEMBL274792,3.26,CCC1CCC(CC1)NC(=O)N(CCF)N=O,,,,,,
CHEMBL2001752,2.73,ClCCN(N=O)C(=O)N[C@H]1CCCC[C@@H]1Cl,,,,,,
CHEMBL44664,2.44,Cc1ccc(cc1)C(=O)\\C=C\\C(=O)O,,,,,,
CHEMBL72377,5,CCC1(CC(=O)O)OC[C@H](Cc2ccccc2)c3c1[nH]c4c(C)cccc34,,,,,,
CHEMBL102747,-0.966,CC(=O)Nc1ccc(cc1)S(=O)(=O)N2[C@@H]3COCOC[C@H]23,,,,,,
CHEMBL2115546,1.4,OC(=O)[C@H]1Cc2c(CCP(=O)(O)O)cccc2CN1,,,,,,
CHEMBL21799,3.19,CCc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2,,,,,,
CHEMBL323513,-0.1762,COc1ccc(cc1)S(=O)(=O)N2[C@@H]3COCOC[C@H]23,,,,,,
CHEMBL289230,5.8,CC(C)C(CC(=O)OC[C@H](CO)OC(=O)CC(C(C)C)C(C)C)C(C)C,,,,,,
CHEMBL38644,5.7,CC(C)C(CC(=O)OC[C@H](CO)OC(=O)C=C(C(C)C)C(C)C)C(C)C,,,,,,
CHEMBL39273,0.45,COCCC1CN(NC1=O)c2ccc(OC)cc2,,,,,,
CHEMBL514,2.83,ClCCN(N=O)C(=O)NC1CCCCC1,,,,,,
CHEMBL131435,1.508,CC(=O)c1ccc(s1)C2=NN(CCn3ccnc3)C(=O)c4ccccc24,,,,,,
CHEMBL131225,3.165,CCc1ccc(cc1)C2=NN(CCn3ccnc3)C(=O)c4ccccc24,,,,,,
CHEMBL54157,2.36,CN1CCC(=CC1)n2nnc3ccccc23,,,,,,
CHEMBL43625,1.03,COCCC1CN(NC1=O)c2ccc(C)cc2,,,,,,
CHEMBL1159639,2.07,C[C@H]1O[C@H](Oc2cccc3c(O)c4C(=O)Oc5ccc(C)c6C(=O)Oc(c4c56)c23)[C@H](O)[C@@H](O)[C@H]1O,,,,,,
CHEMBL339814,2.137,O=C1N(CCn2ccnc2)N=C(c3ccccc3)c4ccccc14,,,,,,
CHEMBL131421,2.696,CSc1ccc(cc1)C2=NN(CCn3ccnc3)C(=O)c4ccccc24,,,,,,
CHEMBL431315,-0.14,COCCC1CN(NC1=O)c2ccc(O)cc2,,,,,,
CHEMBL54927,2.54,CN1CCC(=CC1)n2cnc3ccccc23,,,,,,
CHEMBL23330,0.14,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,
CHEMBL323252,-1.05,[O-][N+](=O)c1cc(c(cc1N2CC2)C(=O)NCCCN3CCOCC3)[N+](=O)[O-],,,,,,
CHEMBL113291,0.7,NC(=O)c1cc(ccc1[N+](=O)[O-])N2CC2,,,,,,
CHEMBL20883,-0.48,FC1=CN(C2CCCO2)C(=O)NC1=O,,,,,,
CHEMBL39154,0.891,COCC1CN(NC1=O)c2ccccc2,,,,,,
CHEMBL24241,1.35,FCS(=O)(=O)Nc1ccccc1,,,,,,
CHEMBL33174,1.84,COC[C@H]1CN(C(=O)O1)c2ccc(OCCCCO)cc2,,,,,,
CHEMBL130448,3.021,CCc1ccc(s1)C2=NN(CCn3ccnc3)C(=O)c4ccccc24,,,,,,
CHEMBL340283,0.87,O=C1N(CCn2ccnc2)N=C(c3ccccn3)c4ccccc14,,,,,,
CHEMBL422778,0.5401,Clc1ccc(cc1)S(=O)(=O)N2[C@@H]3COCOC[C@H]23,,,,,,
CHEMBL109795,-0.3,CS(=O)(=O)c1cc(c(cc1N2CC2)C(=O)N)[N+](=O)[O-],,,,,,
CHEMBL38795,1.949,CCCOCC1CN(NC1=O)c2ccccc2,,,,,,
CHEMBL291227,0.53,COCCC1CN(NC1=O)c2ccccc2,,,,,,
CHEMBL137840,0.9,O=C(COC(=O)c1ccccc1)N(N2CCOCC2)N3CCOCC3,,,,,,
CHEMBL33260,2.27,COC[C@H]1CN(C(=O)O1)c2ccc(OCCCC(C)O)cc2,,,,,,
CHEMBL69663,5.25,CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,,,,,,
CHEMBL432525,0.18,COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,,,,,,
CHEMBL112126,-0.41,CS(=O)(=O)c1cc(c(cc1C(=O)N)N2CC2)[N+](=O)[O-],,,,,,
CHEMBL324103,0.34,NC(=O)c1cc(cc(c1N2CC2)[N+](=O)[O-])[N+](=O)[O-],,,,,,
CHEMBL351033,-2.46,CCS(=O)(=O)O.Cc1cc(ccc1OCc2cccc(c2)C(=O)N)N3C(=NC(=NC3(C)C)N)N,,,,,,
CHEMBL138331,1.95,O=C(COC(=O)c1ccccc1)N(N2CCCCC2)N3CCCCC3,,,,,,
CHEMBL33295,2.7,COC[C@H]1CN(C(=O)O1)c2ccc(OCC[C@@H](C)OC)cc2,,,,,,
CHEMBL33380,1.37,COC[C@H]1CN(C(=O)O1)c2ccc(OCCC(=O)C)cc2,,,,,,
CHEMBL104976,0.835,Brc1ccc(cc1)S(=O)(=O)N2[C@@H]3COCOC[C@H]23,,,,,,
CHEMBL103973,2.344,CC(=O)Nc1ccc(cc1)S(=O)(=O)N2C3COC(C)(C)OCC23,,,,,,
CHEMBL446154,-0.26,CN(CCN1CCOCC1)C(=O)c2cc(N3CC3)c(cc2[N+](=O)[O-])[N+](=O)[O-],,,,,,
CHEMBL113849,-0.17,NC(=O)c1c(ccc(N2CC2)c1[N+](=O)[O-])[N+](=O)[O-],,,,,,
CHEMBL41638,1.089,COCCC1CCN(NC1=O)c2ccccc2,,,,,,
CHEMBL357032,4.19,Cc1ccc2OC(=O)c3c(O)c4cccc(O)c4c5OC(=O)c1c2c35,,,,,,
CHEMBL33508,0.77,COC[C@H]1CN(C(=O)O1)c2ccc(OCCO)cc2,,,,,,
CHEMBL131586,0.66,O=C1N(CCn2ccnc2)N=C(c3cccnc3)c4ccccc14,,,,,,
CHEMBL130965,0.538,CC1=NN(CCn2ccnc2)C(=O)c3ccccc13,,,,,,
CHEMBL295426,3.2,CC(C)C(CC(=O)OCC1(CO)CC(=C(C)C)C(=O)O1)C(C)C,,,,,,
CHEMBL36908,3.632,O=C1NN(CC1SCc2ccccc2)c3ccccc3,,,,,,
CHEMBL40105,1.41,COCC1(C)CN(NC1=O)c2ccccc2,,,,,,
CHEMBL417166,1.96,COCCC1CN(NC1=O)c2ccc(Cl)c(Cl)c2,,,,,,
CHEMBL43182,2.22,COCCC1CN(NC1=O)c2ccc(OCc3ccccc3)cc2,,,,,,
CHEMBL132117,3.188,O=C1N(CCn2ccnc2)N=C(C3CCCCC3)c4ccccc14,,,,,,
CHEMBL54302,3.61,CN1CCC(=CC1)n2ccc3ccccc23,,,,,,
CHEMBL39489,4.1,CC(C)CC(=O)OCC1(CO)C\\C(=C/CC(C(C)C)C(C)C)\\C(=O)O1,,,,,,
CHEMBL109243,-0.48,[O-][N+](=O)c1cc(c(cc1N2CC2)C(=O)NCCn3ccnc3)[N+](=O)[O-],,,,,,
CHEMBL41582,1.41,COCCC1CN(NC1=O)c2cccc(c2)C(F)(F)F,,,,,,
CHEMBL33386,1.27,COC[C@H]1CN(C(=O)O1)c2ccc(CCCO)cc2,,,,,,
CHEMBL319490,0.992,CC(C)[C@H]1OC[C@@H]2[C@H](CO1)N2S(=O)(=O)c3ccc(NC(=O)C)cc3,,,,,,
CHEMBL290876,5.9,CC(C)C(C\\C=C/1\\CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O)C(C)C,,,,,,
CHEMBL112073,-0.96,CS(=O)(=O)c1cc(c(cc1C(=O)NCC(O)CO)N2CC2)[N+](=O)[O-],,,,,,
CHEMBL41576,2.476,O=C1NN(CC1Cc2cccs2)c3ccccc3,,,,,,
CHEMBL40036,1.974,CSC1CN(NC1=O)c2ccccc2,,,,,,
CHEMBL307177,4.6,Clc1ccc(NC(=O)NS(=O)(=O)c2ccc3OCCc3c2)cc1Cl,,,,,,
CHEMBL329463,2.3,NC[C@@H]1CN[C@H](C1)C(=O)N[C@H](CCc2ccccc2)C(=O)Nc3ccc4ncccc4c3,,,,,,
CHEMBL37122,2.157,O=C1NN(CC1Sc2ccccn2)c3ccccc3,,,,,,
CHEMBL36,2.69,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,,,,,,
CHEMBL22304,-3.4,OC(=O)C1CN(CCCP(=O)(O)O)CCN1,,,,,,
CHEMBL57242,0.9,CCOc1nc2cccc(C(=O)O)c2n1Cc3ccc(cc3)c4ccccc4c5noc(O)n5,,,,,,
CHEMBL335684,2.056,COc1ccc(cc1)C2=NN(CCn3ccnc3)C(=O)c4ccccc24,,,,,,
CHEMBL40602,3.9,CC(C)CC(=O)OC[C@H](CO)OC(=O)C=C(C(C)C)C(C)C,,,,,,
CHEMBL288925,1.42,CCOCC1CN(NC1=O)c2ccccc2,,,,,,
CHEMBL289710,1.059,CCOCCC1CN(NC1=O)c2ccccc2,,,,,,
CHEMBL33128,1.17,COC[C@H]1CN(C(=O)O1)c2ccc(OCC(C)O)cc2,,,,,,
CHEMBL334435,1.2,NC[C@H]1C[C@@H](N(C1)C(=O)CN)C(=O)N[C@H](CCc2ccccc2)C(=O)Nc3ccc4ncccc4c3,,,,,,
CHEMBL291104,4.1,CC(C)C\\C=C/1\\CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O,,,,,,
CHEMBL38668,3.2,CC(C)CC(=O)OCC1(CO)CC(=C(C(C)C)C(C)C)C(=O)O1,,,,,,
CHEMBL27114,2.47,ClCCN(CCCl)CCN1C(=O)NC2(CCCCC2)C1=O,,,,,,
CHEMBL335952,1.4,NCC(=O)N1C[C@@H](N)C[C@@H]1C(=O)N[C@H](CCc2ccccc2)C(=O)Nc3ccc4ncccc4c3,,,,,,
CHEMBL414436,2.8,Cc1cc2nc([nH]c2cc1C)[C@@H](CCc3ccccc3)NC(=O)[C@H]4C[C@H](N)CN4C(=O)CN,,,,,,
CHEMBL317259,-0.055,O=S(=O)(N1[C@@H]2COCOC[C@H]12)c3ccccc3,,,,,,
CHEMBL302505,0.44,CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,,,,,,
CHEMBL103296,0.622,Cc1ccc(cc1)S(=O)(=O)N2[C@@H]3COCOC[C@H]23,,,,,,
CHEMBL240725,3.05,Cc1c(oc2ccc(Cl)cc12)S(=O)(=O)C3=NNC(=O)C=C3,,,,,,
CHEMBL321399,0.31,[O-][N+](=O)c1cc(c(cc1N2CC2)C(=O)NCCN3CCOCC3)[N+](=O)[O-],,,,,,
CHEMBL111860,0.47,NC(=O)c1ccc(c(c1)N2CC2)[N+](=O)[O-],,,,,,
