CMPD_CHEMBLID,exp,smiles
CHEMBL283545,0.96,COc1ccccc1OCC(O)CN2CCC3(CC2)CN(C)C(=O)O3
CHEMBL147726,0.05,NS(=O)(=O)c1ccc(N\\C(=N\\C(CC(=O)O)C(=O)O)\\S)cc1
CHEMBL308266,1.44,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Br
CHEMBL544355,10.6,Cl.CC(C)CCNCc1cccc(c1)C(=O)c2csc(c2)S(=O)(=O)N
CHEMBL554875,2.4,Cl.CN1CCN(Cc2ccc(cc2)S(=O)(=O)c3csc(c3)S(=O)(=O)N)CC1
CHEMBL27212,2.01,CCC1CN(CCc2c[nH]c3ccccc23)CCC14CNC(=O)O4
CHEMBL27271,2.41,OC(CN1CCC2(CC1)OC(=O)NC2Cc3ccccc3)C4COc5ccccc5O4
CHEMBL559014,13.4,Cl.CN1CCN(Cc2ccccc2S(=O)(=O)c3csc(c3)S(=O)(=O)N)CC1
CHEMBL553909,0.11,Cl.CN(C)Cc1cc(ccc1O)S(=O)(=O)c2coc(c2)S(=O)(=O)N
CHEMBL27095,0.98,OC(CN1CCC2(CC1)CNC(=O)O2)C3COc4ccccc4O3
CHEMBL283224,2.14,CCC1N(C)C(=O)OC12CCN(CCc3c[nH]c4ccccc34)CC2
CHEMBL148069,1.459,NS(=O)(=O)c1ccc(N\\C(=N\\C(CO)C(=O)O)\\S)cc1
CHEMBL77823,0.91,OC(=O)Cc1ccccc1Nc2ccccc2Cl
CHEMBL545057,0.81,Cl.CCN(CC)Cc1cc(ccc1O)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL123923,31,Cc1ccc(cc1)S(=O)(=O)c2coc(c2)S(=O)(=O)N
CHEMBL218490,2,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
CHEMBL77576,1.54,Cc1c(Cl)cccc1Nc2ccccc2CC(=O)O
CHEMBL20,0.001,CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL544827,5,Cl.CC(C)CNCc1ccc(cc1)C(=O)c2csc(c2)S(=O)(=O)N
CHEMBL32085,2.153,CC(C)(C)C(=O)Oc1ccc(C[C@@H]2NC(=O)COC2=O)cc1O
CHEMBL440731,1.21,Cc1nc(C)c2CC(C)(C)C(=O)N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)c2n1
CHEMBL153472,1.41,CC(C)c1nc(C)nc2N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C(=O)CCc12
CHEMBL1033,0.25,COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1O
CHEMBL540329,0.14,Cl.CNCc1ccc(cc1)C(=O)c2csc(c2)S(=O)(=O)N
CHEMBL541087,3.7,Cl.CCCCNCc1ccc(cc1)C(=O)c2csc(c2)S(=O)(=O)N
