CMPD_CHEMBLID,exp,smiles
CHEMBL114204,4,COc1cc(CC(=O)N2CCC(CC2)n3c(O)nc4ccccc34)c(cc1OC)[N+](=O)[O-]
CHEMBL114824,4,[O-][N+](=O)c1ccc(N2CCN(CC2)C(=O)Cc3c[nH]c4ccc(Br)cc34)c5nonc15
CHEMBL114379,4.95230801,Oc1nc2ccccc2n1C3CCN(Cc4cc5OCOc5cc4Cl)CC3
CHEMBL333843,4,Oc1nc2ccccc2n1CCCNC(=O)OCc3cc4OCOc4cc3Cl
CHEMBL324142,4.385606274,[O-][N+](=O)c1cc2OCOc2cc1\\C=C\\C(=O)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL112191,5.290702243,COc1ccc(CN2CCC(CC2)n3c(O)nc4ccccc34)c(Cl)c1
CHEMBL326320,4,Cc1ccc2nc(O)n(C3CCN(CC3)C(=O)OCc4cc5OCOc5cc4Cl)c2c1
CHEMBL420500,4,O=C(OCc1ccc2OCOc2c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL113811,4.459392488,O=C(NCc1ccc2OCOc2c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL326962,5.262925469,O=C1NCN(c2ccccc2)C13CCN(Cc4ccc5OCOc5c4)CC3
CHEMBL115076,4,Clc1cc2OCOc2cc1COC(=O)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL325874,5.021189299,O=C(OCc1cccnc1)N2CCC3(CC2)N(CNC3=O)c4ccccc4
CHEMBL115280,4,O=C1NCN(c2ccccc2)C13CCN(Cc4cccc(Oc5ccccc5)c4)CC3
CHEMBL325842,4.666517981,Clc1cc2OCOc2cc1CN3CCC(CC3)N4C(=O)CNc5ccccc45
CHEMBL115652,4.303196057,Clc1cc2OCOc2cc1CN3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL281899,5.477121255,CSc1sc(cc1c2nc(cs2)c3ccccc3)C(=N)N
CHEMBL23330,6.204119983,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
CHEMBL323252,6.204119983,[O-][N+](=O)c1cc(c(cc1N2CC2)C(=O)NCCCN3CCOCC3)[N+](=O)[O-]
CHEMBL113291,6.531478917,NC(=O)c1cc(ccc1[N+](=O)[O-])N2CC2
CHEMBL109795,5.892094603,CS(=O)(=O)c1cc(c(cc1N2CC2)C(=O)N)[N+](=O)[O-]
CHEMBL112126,5.944482672,CS(=O)(=O)c1cc(c(cc1C(=O)N)N2CC2)[N+](=O)[O-]
CHEMBL324103,6.113943352,NC(=O)c1cc(cc(c1N2CC2)[N+](=O)[O-])[N+](=O)[O-]
CHEMBL446154,6.51851394,CN(CCN1CCOCC1)C(=O)c2cc(N3CC3)c(cc2[N+](=O)[O-])[N+](=O)[O-]
CHEMBL113849,6.431363764,NC(=O)c1c(ccc(N2CC2)c1[N+](=O)[O-])[N+](=O)[O-]
CHEMBL106071,6.954242509,Cc1sc(cc1c2nc(cs2)c3ccccc3)C(=N)N
CHEMBL109243,6.041392685,[O-][N+](=O)c1cc(c(cc1N2CC2)C(=O)NCCn3ccnc3)[N+](=O)[O-]
CHEMBL112073,6.618048097,CS(=O)(=O)c1cc(c(cc1C(=O)NCC(O)CO)N2CC2)[N+](=O)[O-]
CHEMBL321399,6.255272505,[O-][N+](=O)c1cc(c(cc1N2CC2)C(=O)NCCN3CCOCC3)[N+](=O)[O-]
CHEMBL111860,5.633468456,NC(=O)c1ccc(c(c1)N2CC2)[N+](=O)[O-]
CHEMBL112527,5.544068044,[O-][N+](=O)c1cc(C(=O)NCCN2CCOCC2)c(N3CC3)c(c1)[N+](=O)[O-]
CHEMBL441273,6.431363764,CCc1sc(cc1c2nc(cs2)c3ccccc3)C(=N)N
CHEMBL323777,6.748188027,[O-][N+](=O)c1cc(c(cc1N2CC2)C(=O)NCCCCN3CCOCC3)[N+](=O)[O-]
CHEMBL112145,7.342422681,OCC(O)CNC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
CHEMBL326338,6.397940009,OCC(O)CNC(=O)c1cc(cc(c1N2CC2)[N+](=O)[O-])[N+](=O)[O-]
